"","geneID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"36","KLF2",9.00208804689864e-08,-1.43230685973999,0.189,0.374,0.00119340681237735
"37","RPL7A",1.14752774387244e-07,0.309853087968514,0.994,0.979,0.00152127753005169
"38","CCDC107",2.54583116136086e-07,1.40579071105703,0.257,0.098,0.00337500837061609
"39","SRGN",2.70633792373021e-07,0.684119955323663,0.589,0.373,0.00358779218548913
"40","RPS15A",5.75878848041014e-07,0.323158803038198,0.983,0.983,0.00763442588847973
"41","VEGFB",6.27779078544452e-07,1.84236137188552,0.177,0.05,0.0083224672442638
"42","RPS15",6.43007187519819e-07,0.303380593972655,0.994,0.986,0.00852434628495024
"43","RWDD1",1.03954926213966e-06,1.03406933057386,0.354,0.18,0.0137813045681855
"44","RPS3",1.49605194210497e-06,0.253041747543358,0.983,0.988,0.0198331605964856
"45","PPP1R15A",1.61385080073423e-06,1.20493145127023,0.28,0.119,0.0213948200653337
"46","RPS7",1.66925352174293e-06,0.328737652884624,0.983,0.947,0.022129293937746
"47","FTL",1.9452545028672e-06,1.07129140921795,0.949,0.947,0.0257882389445104
"48","RPS2",2.01297421715846e-06,0.273892266267286,0.994,0.996,0.0266859991968697
"49","RPS19BP1",2.37667841174752e-06,0.992370039293471,0.32,0.156,0.0315076257045369
"50","RPL36",2.50636955619814e-06,0.408335507864492,0.926,0.854,0.0332269412065188
"51","TXNL1",2.85836064104964e-06,1.10910450737327,0.177,0.105,0.037893287018395
"52","RPL12",3.34071092854498e-06,0.361543797967865,0.966,0.922,0.0442878047797208
"53","RPL32",3.72127122557421e-06,0.275093342390588,0.994,0.987,0.0493328926374373
"54","LTB",4.19586558932705e-06,-0.708102638536938,0.194,0.387,0.0556245901177087
"55","TNFAIP3",5.30193395221514e-06,1.23986524137961,0.251,0.109,0.0702877384045162
"56","RPL15",5.70450109181191e-06,0.298857552564858,0.989,0.976,0.0756245709741505
"57","PPDPF",5.72949110764614e-06,1.05120367735571,0.349,0.176,0.0759558636140649
"58","KANSL1",6.07096672429799e-06,0.903124952303637,0.297,0.148,0.0804828058640185
"59","RPS10",7.70714874652726e-06,0.46107947151878,0.697,0.51,0.102173670932712
"60","TOMM20",1.36186623605246e-05,0.592163191983898,0.52,0.341,0.180542606913475
"61","CCND2",1.59194857678879e-05,1.1011835264324,0.251,0.117,0.211044622824889
"62","RESF1",1.91742169077654e-05,-0.69049038359272,0.469,0.57,0.254192593546245
"63","FAU",1.99078195417664e-05,0.342609139931447,0.96,0.93,0.263917963665197
"64","SNHG12",2.06764324026597e-05,1.41405669359971,0.211,0.092,0.27410746436206
"65","MANF",2.2432939711001e-05,1.38302979797909,0.223,0.094,0.29739348174874
"66","SND1",2.30357489451871e-05,1.86007695953336,0.114,0.035,0.305384923766345
"67","YTHDF2",2.37520482283712e-05,1.16745674585156,0.189,0.079,0.314880903363517
"68","TSPAN33",2.48549014488103e-05,0.545968369105292,0.006,0.011,0.329501428506878
"69","CITED2",2.72736059762713e-05,1.30892917180444,0.2,0.089,0.361566194427429
"70","KIF5B",3.24282497530736e-05,1.06680053240673,0.309,0.158,0.429901306976496
"71","SELENOK",3.27980076880356e-05,1.02659421001171,0.297,0.145,0.434803187920288
"72","KRT19",3.33420802300501e-05,-2.37050827533242,0.023,0.126,0.442015957609774
"73","AARS",3.53177725919246e-05,2.00539998774259,0.114,0.03,0.468207711251145
"74","PHTF2",3.86032146841882e-05,1.61308256496383,0.12,0.037,0.511762817068282
"75","RPS13",4.00815502276371e-05,0.293387238779577,1,0.972,0.531361111367785
"76","UBE2D2",4.52035194731875e-05,0.9149934706273,0.337,0.194,0.599263057656047
"77","HSPA13",4.5439230614614e-05,2.00991546886508,0.109,0.027,0.602387880257937
"78","BTG3",4.79609444121002e-05,1.63085726669181,0.16,0.057,0.635818240071213
"79","UBE2A",5.01857319167834e-05,1.34893152204574,0.206,0.086,0.665312248020798
"80","HNRNPC",5.13921403504176e-05,0.57039840792585,0.537,0.372,0.681305604625486
"81","C12orf45",5.2346775800556e-05,1.57293541670556,0.143,0.048,0.693961206787971
"82","HNRNPA2B1",5.43047005353252e-05,-0.498147264576997,0.6,0.651,0.719917414996806
"83","RSRP1",5.53006142818777e-05,0.845528650964201,0.389,0.233,0.733120243534852
"84","ATF4",6.29283803888576e-05,0.98372594488422,0.291,0.159,0.834241538815085
"85","BRK1",6.36546161460101e-05,0.802149103898024,0.331,0.181,0.843869246247655
"86","MT-ND6",6.94207257319085e-05,-1.26138655295231,0.131,0.258,0.920310561027911
"87","SAT2",7.37350250882603e-05,1.17199352644833,0.246,0.114,0.977505227595066
"88","SLC25A5",7.5697522985422e-05,1.14508893282311,0.286,0.143,1
"89","ATP6V0A1",7.98770490496577e-05,2.38550369691205,0.074,0.018,1
"90","NRBF2",8.83166010971093e-05,1.33446426391158,0.194,0.08,1
"91","RPL21",8.90635745778874e-05,0.236921565514662,0.989,0.985,1
"92","MRPL36",9.04494157902827e-05,1.46796585710402,0.177,0.068,1
"93","CDK6",9.16415263709793e-05,2.07203718077288,0.08,0.023,1
"94","MIIP",9.34849277023543e-05,2.15365094632653,0.086,0.019,1
"95","BUD31",9.39655723700588e-05,1.15517841607313,0.217,0.106,1
"96","RTRAF",9.86628331815922e-05,0.871879977911153,0.331,0.191,1
"97","SELENOS",0.000105612678501017,1.17918603843367,0.257,0.122,1
"98","PEX13",0.000110713201436431,1.91370015360578,0.103,0.028,1
"99","MAFG",0.000116918721338977,1.98654096049127,0.097,0.025,1
"100","UBE2R2",0.000117982879878312,1.31150311546827,0.177,0.075,1
"101","IGHA1",0.000123166337375865,-6.76464441255424,0,0.05,1
"102","ZZEF1",0.000128754623955852,1.69181923556875,0.131,0.042,1
"103","RPL10",0.000132555902602347,0.240432730746003,0.989,0.993,1
"104","TERF2IP",0.000144257875779995,0.76687729926641,0.366,0.22,1
"105","DDRGK1",0.000161196444891638,0.527109341853977,0.08,0.073,1
"106","RPS27L",0.000169918205896197,0.723062443513173,0.52,0.338,1
"107","JUND",0.000176743725238327,0.416685352160326,0.577,0.409,1
"108","PRELID3B",0.000177327212499497,1.43049115168536,0.16,0.06,1
"109","CAMLG",0.000182854590996085,0.928765531383928,0.269,0.144,1
"110","RPL29",0.000183199029158027,0.256190797821636,0.96,0.951,1
"111","HAX1",0.000191722236473048,0.93978938247444,0.234,0.118,1
"112","TMEM11",0.000192124054717415,1.60486205815886,0.126,0.045,1
"113","SNRPN",0.000195636936725888,1.04527478528174,0.24,0.115,1
"114","EPB41L4A-AS1",0.000204481175779011,1.02596131022491,0.24,0.126,1
"115","NXT1",0.000211873513198687,1.40846484535536,0.137,0.051,1
"116","ARF6",0.000219427485900614,0.944517745595567,0.28,0.152,1
"117","CYC1",0.000220145233549366,0.615231031542407,0.069,0.059,1
"118","CST7",0.000224517264221397,0.836558497459648,0.303,0.163,1
"119","DCP2",0.000225639326855714,1.08959007444555,0.223,0.102,1
"120","EEF1D",0.000226453528171594,0.217689442065541,0.817,0.677,1
"121","C19orf48",0.000227334345797521,0.361543797967865,0.04,0.047,1
"122","DEGS1",0.000227419327700155,1.54596836910529,0.126,0.043,1
"123","CSTB",0.000231172525428589,1.09936079082558,0.366,0.241,1
"124","CYCS",0.00024250369750382,1.04507013317261,0.246,0.131,1
"125","MARCH5",0.000251215868536184,1.64326557046021,0.114,0.04,1
"126","TRIB3",0.000252695997691918,2.54596836910529,0.063,0.011,1
"127","KMT2A",0.000257225035959109,0.278932032714002,0.377,0.268,1
"128","CDC42SE2",0.000257791856631039,0.760472881011428,0.343,0.207,1
"129","CBX1",0.000274792707854033,1.17918603843367,0.189,0.086,1
"130","RPL31",0.000276293317364092,0.273810825396319,0.817,0.691,1
"131","CD44",0.000279663199088726,0.659924558402378,0.36,0.22,1
"132","KLF6",0.000283912221659864,0.558108931977505,0.589,0.44,1
"133","GLO1",0.000288452692851158,1.22404027421793,0.177,0.074,1
"134","USB1",0.000288807747225952,2.3533232911629,0.069,0.015,1
"135","ANKRD11",0.000289404865853943,0.537604896170666,0.389,0.252,1
"136","GIMAP4",0.000297607083157635,-0.792063033965988,0.36,0.482,1
"137","PLCG2",0.000304434028107783,0.545968369105293,0.24,0.13,1
"138","AP003774.2",0.000310461897719129,2.68347189285523,0.057,0.009,1
"139","PDCD5",0.000326452985460035,1.00080687644211,0.223,0.128,1
"140","RGS16",0.000328747870787165,2.96100586838414,0.057,0.008,1
"141","CDC40",0.00034019674538553,0.961005868384136,0.229,0.119,1
"142","RPLP1",0.000350832599394316,0.22792574237571,1,1,1
"143","SNHG1",0.000356372424069008,1.24015993958121,0.16,0.079,1
"144","LIPA",0.000357379043498487,0.37604336766298,0.017,0.025,1
"145","SOD2",0.000362336055426002,0.673025105420112,0.24,0.132,1
"146","SF3B5",0.000378227922397569,0.668452375630288,0.24,0.136,1
"147","TXN",0.000381720995663975,0.95778196750985,0.4,0.241,1
"148","RPS25",0.000385033968288993,0.260030131273145,0.971,0.955,1
"149","GPX4",0.00039074784754796,0.611751788150635,0.514,0.348,1
"150","ZNRF1",0.000395864949527806,1.7158933705476,0.097,0.028,1
"151","PHC3",0.00039836605410648,1.00831158316249,0.166,0.076,1
"152","WASHC2A",0.000404020770011366,0.458505527854953,0.029,0.032,1
"153","BCAS2",0.000407171887582239,0.733053921705788,0.2,0.107,1
"154","TMSB10",0.000410889382726438,-0.131278588853891,0.783,0.801,1
