"","geneID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"144","IGHA2",0.00493879255198959,2.08374051444595,0.027,0.006,1
"145","XRCC6",0.005045237177859,-0.294647383835289,0.171,0.225,1
"146","C1orf56",0.0050636081157831,0.98771362667217,0.082,0.044,1
"147","CD47",0.00508058996750652,-0.381892443359667,0.104,0.148,1
"148","RDH11",0.00511779909400414,-0.725004421247359,0.051,0.089,1
"149","BDP1",0.00533109824391784,0.362223319368403,0.173,0.156,1
"150","CDC5L",0.00538044656941093,0.381332142316108,0.141,0.097,1
"151","DUSP28",0.00548640725152231,-1.67525138605026,0.009,0.03,1
"152","MLX",0.00560286699957706,-0.782166589966771,0.05,0.08,1
"153","ATP5F1C",0.00564540057915104,-0.226120688103007,0.129,0.167,1
"154","ODC1",0.0056910095575108,-0.512979957151382,0.078,0.12,1
"155","RPL23",0.00582107157208628,0.218117028265998,0.901,0.864,1
"156","GRHPR",0.00584363935257842,-0.848582988935821,0.044,0.081,1
"157","PSMC4",0.00590875584838518,-0.744514048487373,0.059,0.094,1
"158","AC245407.2",0.00591317174784635,-0.580924003502106,0.064,0.103,1
"159","SNRPC",0.00610128349690499,-0.51828203971186,0.087,0.131,1
"160","IRF1",0.00611979729969407,0.383843361472158,0.392,0.333,1
"161","ANAPC16",0.00612104029827213,-0.128302211265834,0.313,0.369,1
"162","AGFG1",0.00612513802058664,-0.675251386050259,0.065,0.106,1
"163","CHCHD2",0.00617930063904989,-0.302566879601199,0.428,0.503,1
"164","SIRT7",0.00626427420018149,-0.58332889660922,0.073,0.114,1
"165","MTERF1",0.00626804421634232,-1.04298317055075,0.029,0.058,1
"166","TNFRSF13C",0.00627769331252869,-0.725877459120227,0.062,0.103,1
"167","ZFAND6",0.00652488669159298,0.23950132733123,0.19,0.181,1
"168","TAX1BP1",0.00654061389947038,0.256479337932712,0.319,0.305,1
"169","PPCS",0.00660437587985151,-0.675251386050259,0.08,0.127,1
"170","DAAM1",0.00662654979866632,-1.15168942999325,0.019,0.045,1
"171","RPS20",0.0066945781710159,0.157876936484983,0.956,0.928,1
"172","CDK13",0.00684640170497231,0.391862809808278,0.106,0.094,1
"173","RWDD4",0.00686301989675076,-0.997179480937621,0.032,0.066,1
"174","DCTN3",0.00687065133593365,-0.62028492683233,0.097,0.148,1
"175","PHF3",0.00696433394337425,0.365200657687035,0.313,0.273,1
"176","SELENOW",0.00699193204175644,-0.437752072323603,0.182,0.248,1
"177","RBM15B",0.00708914415659805,-1.07734982962161,0.026,0.056,1
"178","PJA2",0.00721653185203935,0.434626231722115,0.238,0.192,1
"179","KAT2B",0.00723552447160768,-1.60813719019172,0.01,0.031,1
"180","EIF2S3",0.00725511568145221,0.120130894341269,0.169,0.177,1
"181","COX6B1",0.00734746696601071,-0.288228262941012,0.267,0.336,1
"182","SYNE2",0.00734959935615683,0.294945403030332,0.321,0.302,1
"183","IER3IP1",0.00736428257252557,-0.571415575065719,0.064,0.1,1
"184","RPL34",0.00739862206822974,-0.113736838374856,0.981,0.978,1
"185","RNF126",0.00742166984487792,-0.892062775123407,0.033,0.064,1
"186","AHR",0.0074216923614271,-0.675251386050259,0.077,0.125,1
"187","UBE2L3",0.00744327671957985,-0.517371726268539,0.138,0.197,1
"188","AZGP1",0.00748471059911755,1.12121521986461,0.06,0.027,1
"189","LINC01550",0.00750542200660733,-1.5497205039664,0.011,0.033,1
"190","AL050309.1",0.00758025025984521,-1.86789646399265,0.006,0.023,1
"191","SF3B2",0.00767333395926931,0.151912017087525,0.293,0.294,1
