"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"12606","AC062028.1",0.692766879592528,-1.47388225770645,0.002,0.01,1
"12607","TIGD4",0.692872550533337,-0.151954162819092,0.008,0.01,1
"12608","LYG2",0.692898869795109,-0.441460780014078,0.008,0.012,1
"12609","C2orf81",0.692991935693865,0.127021786883722,0.048,0.043,1
"12610","TDO2",0.693248310819715,-3.83793582826649,0.015,0.291,1
"12611","TIAF1",0.693264890507052,1.54403965029081,0.015,0.006,1
"12612","PSD",0.69343489411366,-0.666527335648851,0.015,0.026,1
"12613","ZNF275",0.693439753371224,-0.540996453564992,0.077,0.107,1
"12614","AC016821.1",0.69352521657868,0.374114648848495,0.021,0.017,1
"12615","NIPAL2",0.693563159607261,-0.830372041738418,0.158,0.255,1
"12616","ZNF556",0.69370880457702,1.78719063179405,0.012,0.004,1
"12617","REM2",0.69420290333979,0.370947369769811,0.021,0.018,1
"12618","ZNF30",0.694365694571044,0.111080243014701,0.04,0.037,1
"12619","GPX8",0.694456711466638,-1.29316397619014,0.187,0.392,1
"12620","ZBED6",0.694684261703557,-0.41034660085612,0.025,0.034,1
"12621","SH3TC1",0.694792529160415,0.192610128511299,0.046,0.042,1
"12622","SLC10A7",0.694832041877334,-0.433408507719345,0.065,0.084,1
"12623","KLF3-AS1",0.694888463062412,-0.262137080569516,0.008,0.011,1
"12624","WDR5B",0.695734494723457,0.211371056619961,0.071,0.06,1
"12625","LRRC37B",0.696238204260412,1.07455436698959,0.048,0.023,1
"12626","MSL3",0.696559581832027,-0.112548738816487,0.212,0.208,1
"12627","ETNK1",0.696822438802399,-0.142594268325255,0.544,0.539,1
"12628","DPP9",0.696849022849068,-0.217886306140476,0.19,0.217,1
"12629","AC002116.2",0.69689546875729,-0.441460780014078,0.008,0.012,1
"12630","RAMP2",0.697020468810655,1.9184351650723,0.06,0.015,1
"12631","USB1",0.697064991644515,-0.783900341831583,0.144,0.223,1
"12632","VWA7",0.697154547318077,0.544039650290807,0.015,0.012,1
"12633","AC124319.1",0.697417000832166,-0.987483591468889,0.058,0.112,1
"12634","WWP1",0.698022091508149,-0.618110206598148,0.438,0.547,1
