"","geneID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1335","RER1",0.0221398325655948,-0.162628232519776,0.438,0.445,1
"1336","DCUN1D2",0.0221425914931575,0.944091258849344,0.053,0.026,1
"1337","TMEM159",0.02221069505822,0.475605417944096,0.204,0.152,1
"1338","XRRA1",0.02227028737441,0.337595596578546,0.084,0.059,1
"1339","HEBP1",0.0223468761156308,0.282554233020584,0.475,0.412,1
"1340","TTC14",0.0224004050202127,0.373000932709745,0.305,0.251,1
"1341","MTPAP",0.0224950125620872,0.780336024647238,0.085,0.05,1
"1342","RPSA",0.0225140669765167,0.104283160642414,0.998,0.998,1
"1343","ZNHIT1",0.0225189399203435,-0.143329838356755,0.683,0.688,1
"1344","OAS2",0.0225348850936003,-1.0774419027003,0.023,0.05,1
"1345","GASAL1",0.0226569467382481,-1.71487182331559,0.006,0.023,1
"1346","BARD1",0.0226737720930236,0.264950294746781,0.067,0.071,1
"1347","NUDT5",0.0226775806616069,0.329718327708481,0.332,0.266,1
"1348","DPYD",0.022714860473348,-0.646284738058177,0.081,0.122,1
"1349","MRPS26",0.0227305535193242,0.256719761498656,0.443,0.375,1
"1350","HOMER3",0.0227683873853372,0.350358548500455,0.316,0.251,1
"1351","HSPA13",0.0228097823003609,0.416372709962663,0.258,0.198,1
"1352","DHRS4",0.0228329042129383,-0.485189366048664,0.141,0.188,1
"1353","NFS1",0.0228372672776292,0.739694040149892,0.089,0.053,1
"1354","ADGRE5",0.0228439347820061,-0.570688234329839,0.106,0.15,1
"1355","ZBTB10",0.0228463941814421,0.527329079101039,0.175,0.126,1
"1356","GATAD1",0.0228583684075246,0.360807774949516,0.321,0.264,1
"1357","B3GAT2",0.0228628544886053,1.40060539410435,0.031,0.011,1
"1358","NUCB1",0.0229406678413107,-0.299834324036746,0.375,0.433,1
"1359","RIF1",0.022943250287521,0.289402831784736,0.43,0.386,1
"1360","DEK",0.0229706634916909,0.127443623100543,0.827,0.771,1
"1361","S100A13",0.0229817818827567,-0.214666940774068,0.499,0.556,1
"1362","THAP12",0.0230917428197699,0.237193699620708,0.244,0.193,1
"1363","CTAG2",0.0231120223860528,-0.930600514371027,0.019,0.041,1
"1364","IFI44L",0.0231746379990365,-1.16656779317328,0.02,0.038,1
"1365","LSM11",0.0232260553548954,0.852168769408304,0.07,0.04,1
"1366","SERTAD4",0.0233406678524092,-0.956946610513738,0.027,0.055,1
"1367","TCEA1",0.0233573359766883,0.193473835493316,0.764,0.731,1
"1368","OBI1",0.0234790880409825,0.51429913065192,0.172,0.125,1
"1369","SERPINB2",0.0235251384406643,-1.33225580172912,0.033,0.04,1
"1370","AP1AR",0.0236059387751096,0.476727444475255,0.209,0.158,1
"1371","PIGP",0.0236374488747459,-0.457017656587476,0.146,0.193,1
"1372","CAVIN1",0.0236576369433455,-0.211157165960525,0.615,0.679,1
"1373","MORN2",0.0236684082957474,-0.463720408997717,0.151,0.196,1
"1374","LMNB2",0.023682064290819,0.45915757645946,0.13,0.088,1
"1375","TAGLN",0.0237166073058994,-0.102522068817189,0.295,0.363,1
"1376","PPP1R13L",0.0237477878978128,1.20266601649244,0.041,0.017,1
"1377","PPIC",0.0237869516514679,-0.275828861025956,0.447,0.511,1
"1378","MT1X",0.0237987874835355,1.47425175161356,0.172,0.179,1
"1379","SV2A",0.0238690996587487,0.854493822354548,0.074,0.041,1
"1380","PMF1",0.0238717609286702,-0.33763635674913,0.238,0.272,1
"1381","ZSCAN29",0.0238835735608299,1.03896758941501,0.051,0.024,1
"1382","HAPLN3",0.023928190392367,-0.582768287308244,0.068,0.106,1
"1383","SLC26A6",0.0239600569581468,1.28512817668441,0.036,0.014,1
"1384","ZBTB7A",0.0240211901028052,0.283451598877027,0.375,0.343,1
"1385","PRELID3B",0.0240438887492369,0.411920707332181,0.221,0.164,1
"1386","MAP1LC3A",0.0241061020689326,-0.289602401425789,0.283,0.313,1
"1387","PIDD1",0.0241127080325592,1.05771768058134,0.049,0.023,1
"1388","CCDC71L",0.0241543465336544,-0.299834324036745,0.183,0.195,1
"1389","ENTR1",0.0241639922087334,-0.458737919387806,0.164,0.211,1
"1390","CWF19L2",0.0241993553199334,-0.299834324036746,0.206,0.225,1
"1391","THBD",0.0242064853873116,0.752004607482872,0.072,0.04,1
"1392","CNPY4",0.0242104637684916,-0.550157678120986,0.107,0.152,1
"1393","CNOT6",0.0242280031633699,-0.590883106040136,0.099,0.138,1
"1394","NECTIN1",0.0242365407006279,-0.613942914464809,0.042,0.068,1
"1395","WAC",0.024265638117975,0.244796082649193,0.489,0.421,1
"1396","JPH1",0.0242898049820973,1.28512817668441,0.036,0.014,1
"1397","SPG7",0.0243083602469742,0.336843213228566,0.227,0.173,1
"1398","ZCCHC4",0.0244610904848727,0.896562888766758,0.064,0.035,1
"1399","BCAR1",0.0244747617287727,-0.372813769393851,0.221,0.263,1
"1400","MRPL9",0.0245119595764402,-0.190011046083994,0.207,0.211,1
"1401","NUDT16",0.0245661339725142,0.324656540871048,0.173,0.129,1
"1402","ICE2",0.0246162301358025,0.249722840553212,0.179,0.138,1
"1403","POC1B",0.0246473566401664,0.414763457101007,0.078,0.055,1
"1404","TMEM45A",0.0247050110130358,-0.398800774837767,0.158,0.207,1
"1405","ZMYND19",0.0247467504955845,0.563844204750474,0.131,0.087,1
"1406","ZMAT3",0.024886053480575,0.431753090402894,0.275,0.225,1
"1407","SLC38A10",0.0249079311238963,-0.478171565295258,0.123,0.172,1
"1408","TPD52",0.0249677589097675,0.922558097299702,0.016,0.006,1
"1409","GNG2",0.0250627681619549,-0.576165552483998,0.1,0.146,1
"1410","KDM5A",0.0251656121402128,-0.197181146974393,0.351,0.362,1
"1411","PIGL",0.0251830124510578,0.627653176178887,0.109,0.074,1
"1412","HIPK2",0.0252551873617634,0.566582521584663,0.227,0.173,1
"1413","CHMP1B",0.0252677323501949,0.475997629736955,0.299,0.272,1
"1414","CCDC124",0.02529585208374,-0.203619008777443,0.333,0.342,1
"1415","NFIC",0.0253867470965586,0.225732767910644,0.658,0.596,1
"1416","PIGBOS1",0.0253870226386986,-0.483866271674433,0.156,0.201,1
"1417","SLIT3",0.0253976932926781,0.801449011800436,0.107,0.067,1
"1418","LIPT1",0.0254259649770443,0.548162582518205,0.093,0.058,1
"1419","ANKRD49",0.0254274309462851,0.315248165060746,0.133,0.097,1
"1420","ZMIZ1-AS1",0.0254739337364156,1.78762851721359,0.02,0.005,1
"1421","BTG2",0.0254838796681301,-0.334050039374659,0.128,0.129,1
"1422","F10",0.0254866556289767,-0.371984109792581,0.089,0.1,1
"1423","NBEAL1",0.0255865484222355,-0.275469775637546,0.379,0.427,1
"1424","JARID2",0.0256151227403088,0.447184934793384,0.225,0.176,1
"1425","AL096870.8",0.0256871622742612,-1.01032770684176,0.026,0.052,1
"1426","LANCL1",0.0257879058977073,-0.207716122048315,0.116,0.12,1
"1427","PARP1",0.0258077297121917,-0.272266064027941,0.311,0.342,1
"1428","KLK1",0.0258626949805742,1.28512817668441,0.023,0.008,1
"1429","TAX1BP3",0.0259751838368257,-0.335711360365342,0.279,0.327,1
"1430","MFF",0.0260339738589508,0.358697394680247,0.323,0.271,1
"1431","GYG1",0.0261554749669418,0.247653471265748,0.131,0.1,1
"1432","LRRC47",0.0262352737214792,0.504769987004824,0.153,0.111,1
"1433","NPTN",0.0262423328194669,-0.272795071284393,0.363,0.413,1
"1434","CNTN4",0.0262430344211374,-1.29983432403675,0.014,0.035,1
"1435","COL5A1",0.0262937304439678,-0.421512880624998,0.263,0.319,1
"1436","KLHL24",0.0263194241661138,0.458407929759876,0.263,0.207,1
"1437","ITGA5",0.0265171853275562,-0.350460397106714,0.312,0.369,1
