"","geneID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"140","KIAA1549L",1.7758622832584e-06,-1.3727227957456,0.052,0.12,0.032473417711663
"141","BID",1.82826900390339e-06,-0.629698040744734,0.143,0.242,0.0334317270053773
"142","NAMPT",1.98576376738261e-06,0.294681282143327,0.554,0.445,0.0363116762503584
"143","TMEM54",2.03513974985372e-06,-0.184096415543987,0.259,0.342,0.0372145654658251
"144","NOTCH1",2.1808749531934e-06,-0.820315437340147,0.106,0.188,0.0398794793940945
"145","SSTR2",2.28247669499334e-06,0.868755466721747,0.302,0.188,0.0417373688446483
"146","CLEC2B",2.29132704598406e-06,-0.728179675665485,0.305,0.436,0.0418992063628644
"147","SMIM7",2.3006045907008e-06,-0.19510447522517,0.391,0.5,0.0420688555455549
"148","SERPINH1",2.40763490686633e-06,-0.402190330098051,0.517,0.637,0.0440260119069578
"149","NID1",2.42664104997661e-06,-0.392565863461463,0.305,0.429,0.0443735582398722
"150","SH3KBP1",2.47789122694681e-06,-0.490325626583081,0.31,0.439,0.0453107189759493
"151","ZBTB20",2.62163104738176e-06,-0.242493627392957,0.384,0.489,0.0479391453324229
"152","NFIB",2.68431937821659e-06,0.579248849526763,0.482,0.368,0.0490854641500685
"153","NREP",2.68742111817269e-06,-0.993047239358233,0.08,0.158,0.0491421825669057
"154","PHF3",2.98797941869146e-06,0.162432931114533,0.443,0.48,0.054638191650192
"155","ADCYAP1R1",3.03196207145034e-06,-1.84745156727766,0.019,0.061,0.0554424584385409
"156","LASP1",3.04723003160731e-06,-0.59067615191555,0.197,0.315,0.0557216483579712
"157","SERINC3",3.15269400486775e-06,0.190078531178398,0.468,0.502,0.0576501625730117
"158","ARPC1B",3.18524521994053e-06,-0.290242409328327,0.663,0.704,0.0582453940918325
"159","GGT5",3.62246196509718e-06,-0.590270044934434,0.187,0.278,0.0662403394937671
"160","ADIRF",3.68434728185624e-06,0.423950332836664,0.738,0.605,0.0673719743960233
"161","UBE2Z",3.69054868162e-06,-0.583312763502063,0.254,0.375,0.0674853731921033
"162","PTGIR",3.76340734205539e-06,-0.89677927964123,0.056,0.117,0.0688176666568249
"163","ITM2C",3.82976407786536e-06,-0.451194978725173,0.326,0.447,0.0700310659278459
"164","ANXA6",3.87273382340855e-06,-0.613113541035305,0.235,0.363,0.0708168106948487
"165","CYGB",3.98953522585016e-06,-0.357946726425822,0.352,0.453,0.0729526411398961
"166","AHI1",4.15730045818204e-06,0.247972490421635,0.38,0.4,0.0760203961783167
"167","CD99",4.31139409561639e-06,-0.273108245453138,0.88,0.898,0.0788381524324412
"168","XIAP",4.35943715879412e-06,-0.677080702709588,0.218,0.319,0.0797166678857092
"169","SPARC",4.41882257698943e-06,-0.364375750652099,0.789,0.799,0.0808025896428288
"170","SMARCA1",4.48648578535624e-06,-0.182500191800451,0.32,0.415,0.0820398790710242
"171","SPHK1",4.65641573895176e-06,-0.617803329938414,0.257,0.374,0.085147218202472
"172","LRRC32",4.77059257905447e-06,-1.3059230646912,0.078,0.152,0.0872350559005901
"173","CTSL",4.88172240013576e-06,-0.384345017567806,0.79,0.801,0.0892671758088825
"174","EMC6",4.91178577088363e-06,-0.425124906064805,0.315,0.442,0.089816914606378
"175","FAM20C",5.33689056934038e-06,-0.697161278308862,0.201,0.304,0.0975903809509583
"176","PLAT",5.52048975065972e-06,-0.910854464852953,0.067,0.132,0.100947675580564
"177","LMO4",5.97220558143548e-06,-0.547637312169107,0.403,0.529,0.109207751262129
"178","IMMT",6.38813794074701e-06,-0.194570468647082,0.3,0.386,0.1168134903845
"179","COL5A2",6.40916641077544e-06,-0.535534597723089,0.395,0.483,0.11719801698744
"180","CCN4",6.49966458890319e-06,-1.39136734369214,0.052,0.114,0.118852866672684
"181","SH3PXD2B",6.59903387181729e-06,-0.606172488238718,0.259,0.365,0.120669933380051
"182","IGFBP5",6.70780213543371e-06,-0.165526000284467,0.519,0.432,0.122658869848541
"183","DARS",6.72380670249857e-06,-0.232998032078986,0.369,0.48,0.122951529361889
"184","CHMP3",6.86235736845258e-06,-0.201254254525995,0.323,0.422,0.125485066839524
"185","SEC13",6.94568607513355e-06,-0.245717088372847,0.277,0.372,0.127008815569892
"186","KDELR3",6.997421254773e-06,-0.467988625295056,0.198,0.298,0.127954845064779
"187","PHLDA3",7.03155627869399e-06,-0.521597769176499,0.255,0.36,0.128579038112198
"188","PHLDB1",7.1593842036508e-06,-0.64169675636913,0.208,0.289,0.130916499547958
"189","HIST1H4C",7.16027483822628e-06,-0.274524762502654,0.397,0.511,0.130932785691806
"190","TMED3",7.17130126205132e-06,-0.494385637820184,0.272,0.392,0.13113441487787
"191","ANPEP",7.23710096530909e-06,-1.24963923408048,0.112,0.208,0.132337628251642
"192","TMEM87B",7.47108244841444e-06,-0.55084555769934,0.275,0.381,0.136616213651706
"193","SNRNP40",7.50877493349959e-06,-0.520064511820786,0.166,0.26,0.137305458433974
"194","C1S",7.71291570645548e-06,0.308844338055959,0.48,0.492,0.141038376608245
"195","TMEM176B",8.16919764538958e-06,-0.310469095458327,0.261,0.356,0.149381948143594
"196","RPS15",8.17435583273478e-06,-0.126927893406328,1,1,0.149476270757388
"197","JAM2",8.27669471556211e-06,-0.734354380709668,0.061,0.117,0.151347639568769
"198","DPYSL2",8.47490978546445e-06,-0.312784949439347,0.368,0.488,0.154972200337003
"199","AFAP1L2",8.68761016821905e-06,-1.31484447161764,0.028,0.076,0.158861639536053
"200","DSE",8.93639855419825e-06,-0.621180426613636,0.178,0.284,0.163410983962069
"201","ABRACL",9.0250876566798e-06,-0.616671360448495,0.172,0.28,0.165032752890047
"202","DNAJA2",9.08798522189101e-06,-0.197268668608249,0.371,0.471,0.166182897767499
"203","MMP14",9.14573712554408e-06,-0.663992829558471,0.237,0.36,0.167238949077699
"204","FBLN1",9.16847065684322e-06,-0.568809515226673,0.169,0.271,0.167654654431035
"205","MAPKAPK2",9.24180228077416e-06,-0.339202666715153,0.334,0.447,0.168995596506236
"206","MMADHC",9.37755135497124e-06,-0.154563803863377,0.342,0.432,0.171477904077004
"207","TXNDC5",9.94876960714833e-06,-0.280739525933603,0.425,0.547,0.181923201036314
"208","AC100793.2",9.9677757532933e-06,-1.43609911480667,0.031,0.076,0.182270747424721
"209","DSTN",1.01118654784244e-05,0.239424936811334,0.981,0.959,0.184905572138469
"210","TCP1",1.01569988111706e-05,0.235282092818773,0.485,0.498,0.185730880261065
"211","CHID1",1.04385847570487e-05,-0.32027835766827,0.289,0.388,0.190879960867392
"212","ACTR10",1.06027323125898e-05,-0.338096103718922,0.233,0.327,0.193881563068018
"213","MCC",1.07115996562186e-05,-0.70586508977795,0.099,0.181,0.195872311313613
"214","TRIM69",1.07895552660698e-05,-1.32286460581988,0.039,0.099,0.197297807595352
"215","TMEM165",1.09301138948353e-05,-0.371696530920755,0.506,0.608,0.199868062680958
"216","RPL15",1.10355553148547e-05,-0.117428454435037,1,1,0.201796164487434
