"","id","module","supermodule","dim_1","dim_2"
"99","TKT",1,1,-2.37432722469824,-0.518587109116611
"100","COX5B",2,1,0.697753149065803,-2.58573698666483
"101","RPL7A",6,1,-5.34596031859549,2.375580343934
"102","ATP6V1G1",4,1,1.54009218791468,0.609551671477261
"103","RPL23A",6,1,-5.04717521091955,3.27371633383841
"104","EEF1D",6,1,-5.70419256111639,2.80301934811682
"105","RPS8",6,1,-5.02041493078725,2.87487876746267
"106","BZW1",5,1,0.960938650164436,1.03861785266012
"107","SH3BGRL3",3,1,-1.26532916447179,-0.847183939484653
"108","PEBP1",3,1,-0.194766801800896,-1.28436708119303
"109","RPS6",6,1,-5.04893411418455,3.2669626507482
"110","PGK1",2,1,1.9236323414181,-4.5890662637034
"111","TSTD1",2,1,-0.095900815930535,-3.368554827241
"112","MSI2",5,1,0.305931764635871,2.06337093147844
"113","RPS23",6,1,-5.2645715521838,3.14155972334951
"114","RPL18",6,1,-5.68988246938245,3.04316413733572
"115","SOD1",3,1,-0.522800249066521,-2.1825778451243
"116","ATP5ME",2,1,1.50741835216029,-2.99040293362528
"117","LGALS1",2,1,0.905965047869514,-3.58458637860208
"118","RPL10",6,1,-5.38230535855549,2.41659128996939
"119","RPL12",6,1,-5.46183702817218,2.65360731217474
"120","NDUFS5",2,1,0.567712026629279,-3.0083310570994
"121","PFN1",3,1,-0.82284955402868,-1.03831934597879
"122","B2M",3,1,-2.40368680378454,-2.12879967358499
"123","RPL3",6,1,-5.19057714661615,2.33959430787176
"124","RPL9",6,1,-5.03970978876608,3.25947881075949
"125","SELENOW",3,1,-1.41122345348852,-0.982506748704013
"126","RPS18",6,1,-5.32638993954318,3.02688134047598
"127","TPT1",6,1,-5.1294675143625,2.6092557940206
"128","UQCRB",2,1,0.0676037845943673,-3.53669714596659
"129","RPS15A",6,1,-5.46557786038177,2.69127536151022
"130","UQCR10",2,1,1.56981201747401,-3.00123667385965
"131","RSRP1",5,1,1.68889017680628,1.57233089539618
"132","HSPB1",4,1,2.16620178798182,0.306787970992032
"133","NME2",2,1,2.23263283351405,-1.48751949932962
"134","RPL21",6,1,-4.58136610409277,3.47238493296713
"135","NQO1",1,1,-2.26081971546667,-0.448837038544711
"136","RAN",4,1,3.26396580317957,0.0703676972112091
"137","RPL18A",6,1,-5.42196559628503,2.56773388716787
"138","COX7C",2,1,0.13821812251551,-3.48763775494486
"139","RPL30",6,1,-5.60173414370077,3.06741488310904
"140","PFDN5",6,1,-5.69544253965871,2.94923472735495
"141","KRT15",5,1,-0.21231488605993,3.02747190329641
"142","ATP5IF1",3,1,-0.212365907635857,-2.23887180951029
"143","RPLP2",6,1,-5.04368193170087,3.47417676779837
"144","EDF1",3,1,0.489528852495979,-2.38668036129862
"145","COA4",2,1,2.08132477382166,-1.93600630429178
"146","MGP",8,1,-1.10270146748083,2.43407464358419
"147","EID1",7,1,1.10901852229578,-1.13282894757181
"148","RPL27",6,1,-5.16086914857881,3.35138070914358
"149","NDUFB4",2,1,0.515503126177619,-2.51411080029398
"150","TPM1",1,1,-1.6970587196018,0.517338994475308
"151","RPS5",6,1,-5.44495765587347,2.4648836288175
"152","SRSF4",5,1,2.13592596629603,1.74188126954645
"153","DBI",2,1,1.43701954463465,-2.58798622754007
"154","SRSF9",2,1,1.23255844691737,-2.34219813015848
"155","RPL13A",6,1,-4.36772690435903,3.5221660170278
"156","TACSTD2",8,1,-1.87446026226537,1.18513149354071
"157","RPL10A",6,1,-5.38701900934832,2.34742448064894
"158","CITED4",7,1,1.13303680995447,-0.767142292527255
"159","C19orf53",2,1,1.29357977488978,-2.74203848507791
"160","TCEAL4",1,1,0.0523387966488107,1.31795686814398
"161","RPL36A",6,1,-5.23461658230083,3.27567434641928
"162","MRPL33",2,1,1.55961151698572,-2.75414824154764
"163","WFDC2",1,1,-0.165170473065545,1.08050692412466
"164","RPS3A",6,1,-5.18261019608038,3.07440281245321
"165","NEAT1",5,1,1.14622183421595,2.32065055105299
"166","RPS7",6,1,-5.51716461500185,2.70249551865667
"167","FOS",8,1,-1.38009719273107,1.63348278734297
"168","RPS16",6,1,-4.97051138898389,3.3891960415563
"169","TPM3",4,1,2.71216984370692,1.09627092215628
"170","SET",4,1,2.58812113383753,1.39816439482779
"171","FXYD3",3,1,-1.4047379912998,-1.84159850743204
"172","TMSB4X",3,1,-1.1704256953861,-0.760284897355136
"173","CSTB",1,1,-0.888719362225701,0.741344574423733
"174","SCCPDH",1,1,-0.749718469586541,1.66936366591066
"175","RPL13",6,1,-5.35669101636889,2.9317928585729
"176","SAT1",4,1,2.11317606547816,0.715562585326138
"177","RPS19",6,1,-5.70274750610845,3.19659114214987
"178","DDAH2",7,1,0.236511903796027,-0.879032370118198
"179","NPM1",7,1,0.468743997607063,-0.360100981263217
"180","COX8A",2,1,0.66854734996302,-3.34721016552835
"181","RPS25",6,1,-5.18742979785459,3.26117718550772
"182","HNRNPF",4,1,3.01226540187342,0.761930707426968
"183","XBP1",8,1,-1.10706834217565,1.88857486243755
"184","RBX1",2,1,1.44754000285609,-2.75749563839823
"185","CCNI",7,1,0.877896982226203,-0.39300346043497
"186","DEK",4,1,3.38721581080897,0.684579494925442
"187","EIF3K",3,1,0.510315614733527,-2.31706213620096
"188","CALM2",4,1,3.73172493556483,1.7758798483333
"189","COX6B1",2,1,0.209357458147834,-3.28723311093241
"190","RAC1",3,1,0.445102411303352,-1.25457524922281
"191","HINT1",2,1,0.501722055468391,-2.55696129467874
"192","SMIM22",2,1,-0.0536239566470877,-3.31818270352274
"193","RNF7",7,1,1.34015865901453,-1.19386553433329
"194","ARPC3",3,1,-0.197834772076775,-1.24977969792276
"195","RPS29",6,1,-5.08208529373663,3.47721171710104
"196","GSTP1",3,1,-1.10478619953649,-0.921330448655185
"197","HSP90AA1",4,1,2.36274452784998,0.272488954993191
"198","UFC1",3,1,-0.338322919812371,-1.19116115239054
"199","RAB11FIP1",1,1,-0.690776151623894,1.58128050300688
"200","EIF1AX",4,1,2.92821522334559,-0.0815767016687958
"201","UBB",4,1,2.17621584514124,0.323897961111966
"202","COX7B",2,1,0.524595457110236,-3.25689005520731
"203","BTF3",7,1,0.442691045794319,-0.728445526627597
"204","SNRPB",4,1,3.15557308772547,0.415191772910062
"205","RPS21",6,1,-5.64946819564359,3.18681907984823
"206","H3F3B",4,1,1.52000542262537,0.891595843764249
"207","GTF2A2",7,1,1.46776171306116,-1.29521393444925
"208","UQCRFS1",2,1,1.9032032070492,-2.20120882656961
"209","ENO1",2,1,1.8745052395199,-4.61502527859598
"210","RPL27A",6,1,-4.35646132847326,3.51524198386282
"211","TMSB10",3,1,-1.31365899464147,-0.923705812958774
"212","SELENOH",2,1,1.69678040126307,-2.618883368043
"213","MZT2B",2,1,0.369916635546516,-3.16573547985941
"214","AMD1",4,1,2.44905205348475,0.84567833277792
"215","VDAC3",3,1,0.440849500689338,-1.5818288293162
"216","GLRX5",7,1,1.69746275523646,-0.354981657532748
"217","RPL36AL",7,1,1.47905512431605,-1.25526141789347
"218","PPP1R14B",2,1,2.40151043513758,-1.26604294445902
"219","NDUFA4",3,1,-0.585169595685174,-2.31857084896952
"220","MYL12B",1,1,-1.38174800297277,-0.156395670441684
"221","EEF1B2",6,1,-4.99194948097723,2.20882699224562
"222","PKM",2,1,1.85867186168177,-4.65370487835794
"223","JTB",2,1,1.47552891353113,-1.77516269352823
"224","ATP5MF",2,1,0.370790201220344,-3.23646521237284
"225","RPL23",6,1,-4.213395637479,3.50863302085012
"226","ASPH",1,1,-2.33783392330663,-0.370798346070346
"227","OST4",2,1,0.0738131580684884,-3.73042845394999
"228","GHITM",7,1,0.466905313525031,-0.640501495865878
"229","METRN",2,1,-0.423870843854119,-3.16247200634867
"230","TMA7",2,1,0.632224279436897,-3.68038105633646
"231","RAB25",3,1,0.476254182848762,-1.24472927716165
"232","TMEM59",3,1,-1.76327638050573,-2.29395699170023
"233","NAA38",2,1,0.317290502581428,-2.96575855877787
"234","RPS9",6,1,-5.62052155753629,2.83211112353415
"235","MICOS10",2,1,1.35867710689051,-3.07777809765726
"236","MRPS34",2,1,2.17718048671229,-1.71304917004496
"237","CD55",8,1,-1.45181326290624,2.35331860515684
"238","UBE2S",4,1,3.80521889308436,1.81163108679861
"239","ELOB",2,1,0.272581296953986,-3.16555380490213
"240","MARCKSL1",7,1,0.169489580187629,-0.345457312134799
"241","MYOF",1,1,-0.332683843579461,2.21595990988821
"242","VDAC1",4,1,2.55733843425257,-0.623542543915805
"243","HNRNPA2B1",5,1,2.36082192042811,1.99248930397839
"244","FDPS",8,1,-2.41669706722753,1.76165473792166
"245","CD59",8,1,-0.939016622510125,2.71809810731024
"246","PDIA4",2,1,-1.37041620632665,-4.72839617398172
"247","NOP10",2,1,1.60065718272669,-2.73628925946146
"248","SERPINA3",8,1,-0.83015231510656,2.65570217702002
"249","MPHOSPH8",1,1,0.789687830004524,0.209207776518765
"250","PSMD8",3,1,0.451355653796027,-1.13412141468912
"251","RPL4",6,1,-4.83987395187872,2.31221601698011
"252","TRIR",4,1,3.065004545245,0.301180962058011
"253","UBA52",6,1,-5.97953359505193,3.05437445971579
"254","RPS11",6,1,-4.28767959496038,3.53860688540548
"255","SF3B6",4,1,1.82375021556361,0.315739038916531
"256","RPL38",6,1,-5.13586842736261,3.42527902457327
"257","HMGN1",4,1,3.20988865474207,1.56908619734854
"258","ST13",5,1,-0.0144861163760917,2.69005138012976
"259","UBC",4,1,1.69077749827845,0.752067450018826
"260","H2AFZ",4,1,3.63051052669031,0.649524453612271
"261","AZGP1",3,1,-1.88813857456701,-2.42570185330301
"262","DYNC1I2",1,1,-0.120338243451287,0.760894778700772
"263","SNHG29",6,1,-4.99521226903455,2.27726254198164
"264","MT-CO2",1,1,0.299394327196906,0.942233863802853
"265","NDUFB7",2,1,0.770251470599006,-2.57196306851297
"266","METTL5",7,1,1.05289955714686,-1.52032923367411
"267","MT-ATP6",6,1,-4.00791494270818,3.39632034632772
"268","ATP5MC1",2,1,1.39443750956995,-2.32466053631693
"269","GNPNAT1",4,1,2.34952135661585,-0.224490400818881
"270","JUND",5,1,1.20468922236903,1.19458377692312
"271","MYL12A",1,1,-1.77891687771337,0.49192667338461
"272","BEX3",2,1,-0.263533395734002,-3.28183102276712
"273","RPS27L",2,1,0.650517660174201,-2.94971775677591
"274","STUB1",2,1,1.45284100154383,-1.74919032719522
"275","TAX1BP1",1,1,0.0409061489437326,0.619815352889004
"276","PSMB6",3,1,0.67525311091883,-1.74627852108866
"277","WDR83OS",4,1,1.65776796916468,0.502004865141812
"278","APRT",2,1,2.29936857799036,-1.54143285420328
"279","ARL6IP1",4,1,3.75371857264979,1.86266306001157
"280","ANXA2",3,1,-1.17157153507726,-0.738089319733676
"281","HLA-A",3,1,-2.39364604374426,-2.1331508126536
"282","UQCRH",2,1,0.0965597210262521,-3.18509936001688
"283","ATP1A1",8,1,-0.871099275555779,2.99289608332724
"284","NDUFS6",2,1,1.3059770641659,-2.527894255189
"285","UBE3A",5,1,0.43766995051844,2.30688265297026
"286","COMMD4",4,1,3.65092201808436,0.638727191420499
"287","FAU",6,1,-5.84156949540632,3.04211747977346
"288","PSMB2",3,1,0.549142557177375,-1.95357989933878
"289","LGALS3BP",3,1,-2.35641817471044,-2.09225201275736
"290","EIF4A1",2,1,2.38348885158045,-0.849080797699985
"291","ATP5PF",2,1,0.737602907213996,-3.06248068478495
"292","SUB1",2,1,0.984276014361213,-3.11112999585062
"293","IER2",8,1,-1.37866119762914,1.81222333345026
"294","NDUFC2",2,1,0.210841375384162,-2.89707970288187
"295","SRP9",4,1,2.9035694179867,1.71088116201967
"296","PTGR1",1,1,-2.36219505688207,-0.569712873963413
"297","TUBB4B",4,1,3.81083794215662,1.73541407618136
"298","EIF2S2",7,1,1.49441071132166,-0.562893387345371
"299","HLA-B",3,1,-2.39997748753088,-2.12117409375101
"300","ACTB",1,1,-1.76189593693273,0.512703779669705
"301","RPS20",6,1,-4.25054804703252,3.56660008761496
"302","KRT23",1,1,-0.428021711316277,2.1324996087274
"303","NDUFC1",2,1,0.589754301104377,-3.22727131512552
"304","PSMA3",3,1,0.564390378985236,-1.92007374432474
"305","CLIC1",3,1,-0.637327951398064,-0.988987442521152
"306","RTF1",1,1,0.973779874834846,0.271960023375455
"307","MT-CO3",1,1,0.107179361376594,1.20187479588598
"308","MT-CO1",8,1,-1.39847306629675,2.70232189032644
"309","DUSP4",8,1,-1.10357932468908,2.28517845604033
"310","CSNK1A1",1,1,0.228152471575569,1.3282020125112
"311","CALM1",4,1,1.24984331706507,0.477458241911832
"312","GPS2",1,1,0.327637868914436,-0.00813316967874456
"313","PAK2",1,1,0.673950868639777,0.870545390578213
"314","PSMB5",3,1,0.680886941943,-1.87776088383585
"315","ARPC1B",3,1,-0.683468622174431,-0.743489262131747
"316","MLF2",3,1,0.288180070910285,-1.97221898701578
"317","PTMS",5,1,2.53015966990931,1.91196495765284
"318","NCL",4,1,2.4596783695553,1.26844168040365
"319","MPG",3,1,0.0537883816097482,-1.32654404309183
"320","C4orf3",2,1,1.90395947078211,-4.54507279065042
"321","C12orf57",6,1,-5.88360748907583,2.84908771845907
"322","SLC25A5",6,1,-4.67055283209341,2.01530535850138
"323","SCP2",1,1,-0.373100561108758,-0.102021214036044
"324","TUBA1A",1,1,-1.20837764164465,0.35276389453024
"325","PNRC1",8,1,-1.56277660748022,1.64616623851866
"326","COA3",2,1,1.71577187159998,-2.56406187680155
"327","RPS17",6,1,-4.25379328152197,3.55771863791555
"328","HNRNPK",5,1,0.869373518023322,2.3826473686418
"329","MRPL20",2,1,1.5804721889828,-2.31297707226664
"330","CLTB",1,1,-1.47711448093908,-0.00248264935403752
"331","PRNP",1,1,0.35060711482508,1.33932739827246
"332","TXN",1,1,-1.95381168743627,-0.731501099137363
"333","ECH1",3,1,-0.411045831647088,-2.16609406140238
"334","HLA-C",3,1,-2.40424065014379,-2.13087391522318
