"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"58",3.97275177774987e-12,0.274589792720426,1,0.981,5.10657513511968e-08,1,"RPL30"
"59",6.42028247628268e-12,0.301497380073612,1,0.982,8.25263109501376e-08,1,"RPS4X"
"60",9.04243462820179e-12,0.326195241988029,0.997,0.976,1.16231454710906e-07,1,"RPS6"
"61",9.8870350516755e-12,0.275709267803562,1,0.984,1.27087948554237e-07,1,"RPS23"
"62",4.11979389227147e-11,0.340921822593592,0.977,0.925,5.29558306912574e-07,1,"RPS29"
"63",5.5180160205307e-11,0.298318252097072,0.997,0.966,7.09285779279017e-07,1,"RPL9"
"64",2.17707166617099e-10,0.268341807968624,1,0.982,2.79840791969619e-06,1,"RPL32"
"65",5.90653159963521e-10,0.27041959209422,1,0.977,7.5922557181711e-06,1,"RPL13A"
"66",1.24372714565797e-09,0.290717926586073,0.898,0.801,1.59868687302875e-05,1,"TMSB10"
"67",1.6048389935893e-09,1.04155859568684,0.312,0.15,2.06286004235969e-05,1,"TNFSF10"
"68",2.23833805321173e-09,0.53242423573262,0.743,0.568,2.87715973359835e-05,1,"SARAF"
"69",2.28628846438883e-09,0.597097946862837,0.542,0.354,2.9387951921254e-05,1,"SNHG6"
"70",3.0667591389128e-09,0.299990842508688,0.983,0.961,3.94201219715852e-05,1,"RPL39"
"71",1.61076722807817e-08,0.372413074846368,0.904,0.839,0.000207048019497169,1,"RPS21"
"72",5.44555162561744e-08,0.282093363080344,0.991,0.961,0.000699971205956866,1,"RPL18"
"73",1.72963894649308e-07,1.03963986280542,0.262,0.128,0.00222327790182221,1,"MARCKSL1"
"74",3.17458466942742e-07,0.285071363444931,0.962,0.9,0.004080611134082,1,"RPL37"
"75",4.81931882070002e-07,0.258912026105088,0.997,0.963,0.00619475241212781,1,"RPL14"
"76",1.37613339828466e-06,0.830830585689769,0.35,0.213,0.017688818701551,1,"LIMD2"
"77",2.24174175023442e-06,0.751431241201559,0.362,0.224,0.0288153484575133,1,"TMEM123"
"78",2.68993169492917e-06,0.320146288141553,0.936,0.874,0.0345763820066195,1,"RPL23"
"79",2.78911564428448e-06,0.26643950718509,0.962,0.939,0.0358512924916327,1,"RPS9"
