"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1762","CD813",2.04123767817577e-09,1.25843167154024,0.336,0.16,4.62156622715776e-05,12,"CD81"
"1763","CALM15",2.07314687831598e-09,0.957421443477006,0.493,0.295,4.69381184719522e-05,12,"CALM1"
"1764","RPL245",2.88116516336449e-09,0.652029983436286,0.664,0.524,6.52324604637354e-05,12,"RPL24"
"1765","ANXA51",6.06799277381018e-09,1.15947826321729,0.276,0.111,0.000137385424391836,12,"ANXA5"
"1766","RPL344",1.03175618787673e-08,0.6202652502976,0.679,0.597,0.000233599918497171,12,"RPL34"
"1767","MYL12A1",4.01840806446902e-08,1.3859861125096,0.328,0.134,0.000909807769876431,12,"MYL12A"
"1768","YWHAQ",4.61786042919924e-08,1.91917301654852,0.261,0.071,0.001045529779775,12,"YWHAQ"
"1769","PRDX51",4.85235551314846e-08,1.15212477325999,0.261,0.125,0.00109862181173194,12,"PRDX5"
"1770","TMA72",1.39655509369196e-07,1.10282618627968,0.254,0.118,0.00316194038762797,12,"TMA7"
"1771","MIA2",1.66189814093332e-07,1.48045008822089,0.44,0.18,0.00376270358088714,12,"MIA"
"1772","MT-CYB4",1.87539180062167e-07,0.661343384814408,0.91,0.853,0.00424607457578752,12,"MT-CYB"
"1773","HSP90AA14",2.05497472918431e-07,0.462600448364633,0.634,0.511,0.00465266828434619,12,"HSP90AA1"
"1774","LDHB1",7.27129242161611e-07,1.54394859329261,0.284,0.104,0.016462933171781,12,"LDHB"
"1775","S100A145",1.37554631909917e-06,0.716147558154705,0.582,0.412,0.0311437442107242,12,"S100A14"
"1776","LY6E3",1.37784054381091e-06,0.906285049202502,0.515,0.306,0.0311956877524229,12,"LY6E"
"1777","MT-CO13",1.56057969625114e-06,0.51607625537341,0.948,0.913,0.035333084902822,12,"MT-CO1"
"1778","CYBA2",1.59844175204328e-06,0.868308933902679,0.254,0.141,0.0361903197080119,12,"CYBA"
"1779","NQO12",3.31422307896927e-06,0.970320994398268,0.299,0.161,0.0750373247309432,12,"NQO1"
"1780","MT-ND45",4.06375597163875e-06,0.440443821888854,0.925,0.826,0.0920074989538728,12,"MT-ND4"
"1781","B2M4",1.77886516607761e-05,0.548711849399557,0.56,0.603,0.402752862251632,12,"B2M"
"1782","PSMA74",1.85528727339438e-05,0.6856533057662,0.254,0.184,0.420055591569221,12,"PSMA7"
"1783","SKP14",3.88952523415737e-05,0.415323323395232,0.321,0.231,0.88062740826557,12,"SKP1"
"1784","ACTG13",4.0536376789028e-05,0.441840891038756,0.537,0.573,0.917784106880384,12,"ACTG1"
"1785","TPM22",4.11855169704923e-05,0.929812956166431,0.552,0.285,0.932481289728916,12,"TPM2"
"1786","MT-ATP65",5.32872455331502e-05,0.544810822017058,0.933,0.882,1,12,"MT-ATP6"
"1787","CTSC1",8.24195177914026e-05,1.36345378820142,0.284,0.108,1,12,"CTSC"
"1788","COX7C5",0.000213671218482718,0.401536423767558,0.41,0.321,1,12,"COX7C"
"1789","MT2A2",0.000551979059721588,1.09088779274132,0.567,0.391,1,12,"MT2A"
"1790","MT-ND15",0.000598779842659429,0.492185731537367,0.597,0.528,1,12,"MT-ND1"
"1791","MT-ND54",0.000992385273313141,0.413718206030443,0.537,0.477,1,12,"MT-ND5"
"1792","MT-CO34",0.00146755271664936,0.48299996967196,0.858,0.864,1,12,"MT-CO3"
"1793","CALR2",0.00249945259766758,0.757507549873837,0.284,0.197,1,12,"CALR"
"1794","FTL4",0.00981764139000705,0.450225592653362,0.545,0.524,1,12,"FTL"
"1795","SLC39A63",2.13333790044957e-255,4.54535209860168,0.88,0.161,4.83009034040788e-251,13,"SLC39A6"
"1796","MUC14",6.8530137658546e-228,3.29043078026296,0.816,0.169,1.55159084672714e-223,13,"MUC1"
"1797","SERPINA33",1.04756060695814e-222,3.68449432942459,0.904,0.333,2.37178197021393e-218,13,"SERPINA3"
