"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"104",1.03308682816346e-32,0.741789394928924,0.811,0.559,1.95738961332131e-28,2,"RPS14"
"105",1.04364645076363e-32,1.8443389801823,0.298,0.074,1.97739693026185e-28,2,"TAGLN"
"106",1.05427744340308e-31,0.887325892872743,0.73,0.457,1.99753947201583e-27,2,"RPS16"
"107",1.98420301541651e-29,0.541068962944699,0.96,0.791,3.75946945330965e-25,2,"RPL13"
"108",2.3006257694111e-29,0.855228616314514,0.74,0.451,4.35899564530321e-25,2,"PTMA"
"109",4.26554239536883e-29,0.956466520187117,0.626,0.365,8.08192317650531e-25,2,"RPS13"
"110",4.32270826416858e-28,0.471991512218042,0.962,0.861,8.1902353481202e-24,2,"RPLP1"
"111",4.56995145515639e-28,0.764525651821593,0.752,0.481,8.6586870220848e-24,2,"RPL32"
"112",1.35141794161136e-27,0.63478479916401,0.898,0.671,2.56053157397104e-23,2,"RPL10"
"113",1.86717357330479e-27,0.685954810258447,0.823,0.572,3.53773376934058e-23,2,"RPL7A"
"114",4.29664817046133e-25,1.44239175910963,0.43,0.173,8.14085928857307e-21,2,"ADIRF"
"115",2.81741076152278e-24,0.964800600337002,0.586,0.317,5.33814816985721e-20,2,"RPL29"
"116",6.35193494465637e-24,0.98463528579351,0.52,0.279,1.20350111396404e-19,2,"RPS27"
"117",4.08357566829344e-23,0.523069948910878,0.924,0.745,7.73715081871558e-19,2,"TPT1"
"118",7.81835045886521e-23,0.831075415824502,0.631,0.369,1.48134286144119e-18,2,"RPL30"
"119",1.02882656849652e-20,1.04259682149058,0.459,0.232,1.94931769933035e-16,2,"RPL23A"
"120",1.31973496697812e-20,0.650251022384589,0.783,0.587,2.50050184193345e-16,2,"EEF1A1"
"121",3.23279484991978e-20,0.619607264639332,0.688,0.505,6.125176402143e-16,2,"RPS27A"
"122",1.83884047291132e-19,0.76464211121162,0.593,0.369,3.48405104402508e-15,2,"RPS15A"
"123",2.73016334521344e-19,0.538628705248332,0.78,0.58,5.17284049017591e-15,2,"RPL41"
"124",8.76157518421363e-19,1.22964558646591,0.359,0.154,1.66005565015296e-14,2,"EEF1D"
"125",1.899803694715e-18,0.949434317298182,0.494,0.306,3.59955806037651e-14,2,"GAPDH"
"126",1.11574845294129e-17,1.00242189875898,0.489,0.255,2.11400859378786e-13,2,"IGFBP4"
"127",1.15684413105848e-17,0.776345648431152,0.579,0.371,2.19187257511649e-13,2,"RPL18"
"128",1.19916884566123e-17,0.712493704699474,0.648,0.438,2.27206521187433e-13,2,"RPL8"
"129",1.70951524544675e-17,0.948472183954463,0.47,0.256,3.23901853554796e-13,2,"RACK1"
"130",6.55489296937305e-17,0.464595717795481,0.752,0.544,1.24195557090711e-12,2,"B2M"
"131",3.63298855048963e-16,0.791597691173169,0.534,0.311,6.88342340661271e-12,2,"H3F3B"
"132",1.21952809390821e-15,0.548374422914058,0.738,0.552,2.31063987952789e-11,2,"RPS23"
"133",2.10416241865966e-15,0.911935360216745,0.442,0.239,3.98675653463446e-11,2,"NACA"
"134",3.05407588311202e-15,0.589103650032202,0.69,0.513,5.78655757573235e-11,2,"RPS6"
"135",3.33113394190869e-15,0.47381424782486,0.804,0.617,6.31149947973439e-11,2,"RPS12"
"136",1.22558548315675e-14,0.56310160930889,0.669,0.511,2.3221168149371e-10,2,"RPL21"
"137",1.89406498812691e-14,1.07316066670867,0.355,0.165,3.58868493300405e-10,2,"FILIP1L"
"138",2.82233637705555e-14,0.532543984944518,0.757,0.567,5.34748073360716e-10,2,"RPS3A"
"139",1.01004781700187e-13,0.698880803459633,0.506,0.342,1.91373759887345e-09,2,"RPL12"
"140",2.7867381126201e-13,0.427986704324268,0.714,0.52,5.28003270198131e-09,2,"VIM"
"141",4.97366384794895e-13,0.43835539033286,0.837,0.687,9.42360089270888e-09,2,"RPS2"
"142",6.72157221530752e-13,0.672980117303771,0.567,0.36,1.27353628763432e-08,2,"RPL5"
"143",7.45333107549489e-13,0.671633990715598,0.567,0.397,1.41218263887402e-08,2,"RPL3"
"144",1.7077216697087e-12,0.741119091036882,0.494,0.305,3.23562024759706e-08,2,"RPS11"
"145",2.85056287807028e-12,0.460673416716289,0.785,0.602,5.40096148507976e-08,2,"RPS4X"
"146",4.12248786347727e-12,0.506611868145072,0.712,0.548,7.81087775493037e-08,2,"RPL26"
"147",1.39932244272827e-11,0.627154669061278,0.454,0.293,2.65129623223725e-07,2,"RPS28"
"148",2.00106498523653e-11,0.675440576145333,0.489,0.311,3.79141782752766e-07,2,"RPL23"
"149",2.38049474254251e-11,0.975721008818457,0.312,0.16,4.5103233886953e-07,2,"EEF1G"
"150",2.47323900069523e-11,0.684234027495231,0.463,0.285,4.68604593461725e-07,2,"RPL24"
"151",2.82464089319848e-11,0.816547995142603,0.414,0.241,5.35184710034316e-07,2,"RPL7"
"152",3.10217154849542e-11,0.672874165330684,0.487,0.319,5.87768443293427e-07,2,"RPL34"
"153",3.57806135103119e-11,0.512083244439211,0.652,0.506,6.77935284179879e-07,2,"RPL11"
"154",4.61407306012961e-11,0.835867880080055,0.376,0.217,8.74228422702757e-07,2,"RPSA"
"155",1.32990697359446e-10,0.941319166997839,0.357,0.191,2.51977474286942e-06,2,"BTG1"
"156",5.20395455398053e-10,1.00748307016988,0.312,0.161,9.85993269342691e-06,2,"IFITM2"
"157",5.78193290222428e-10,0.540904477455164,0.556,0.393,1.09550282698444e-05,2,"RPS15"
"158",6.89513098326369e-10,0.72674103730942,0.428,0.26,1.30642046739897e-05,2,"RPS5"
"159",9.55028005942368e-10,0.815296937687337,0.333,0.181,1.809491562859e-05,2,"GAS5"
"160",1.42868612256833e-09,1.16966085466547,0.274,0.141,2.70693159643021e-05,2,"ID4"
"161",4.44386761863947e-09,0.418866867853191,0.721,0.569,8.41979597703621e-05,2,"RPL15"
"162",4.8425449582042e-09,0.769898619725548,0.364,0.221,9.17516993230949e-05,2,"FAU"
"163",6.36085237637113e-09,1.02635527085364,0.258,0.132,0.000120519069975104,2,"ZFP36L1"
"164",6.75969861685241e-09,0.877539342913518,0.281,0.153,0.000128076009693503,2,"RPL36A"
"165",7.57786618583227e-09,0.502799498963616,0.608,0.472,0.000143577830622964,2,"RPL6"
"166",8.35806930752305e-09,0.423443315800899,0.402,0.274,0.000158360339169639,2,"MYL6"
"167",1.05778330284849e-08,0.533319760547818,0.522,0.368,0.000200418202390704,2,"RPL9"
"168",1.14996437068203e-08,0.491457670145958,0.622,0.467,0.000217883749313124,2,"RPS3"
"169",1.48681340071378e-08,0.463013100369227,0.596,0.472,0.000281706535033241,2,"RPS24"
"170",1.94761913719969e-08,0.626378088605734,0.404,0.257,0.000369015397925226,2,"RPLP2"
"171",2.00913491617428e-08,0.866374079247539,0.35,0.204,0.000380670792567541,2,"JUN"
"172",2.12891047524895e-08,0.507628960817103,0.48,0.313,0.000403364667745419,2,"IGFBP7"
"173",2.28730397866459e-08,0.565589530996612,0.392,0.259,0.000433375484837581,2,"RPL39"
"174",2.3454256839027e-08,0.670482161906455,0.416,0.271,0.000444387804329046,2,"RPL10A"
"175",8.69920536872214e-08,0.993836923921816,0.262,0.135,0.00164823844121178,2,"TXNIP"
"176",1.01803897941767e-07,0.996715780413764,0.262,0.139,0.00192887845430266,2,"CCN1"
"177",2.6506973099012e-07,0.527847504803667,0.485,0.354,0.0050222761930698,2,"RPS7"
"178",2.65636402572042e-07,0.690890071785545,0.35,0.222,0.00503301291953248,2,"RPS20"
"179",3.64516064131766e-07,0.640130744755219,0.369,0.243,0.00690648586710457,2,"RPS25"
"180",3.64794845213916e-07,0.805927036397704,0.277,0.16,0.00691176793226806,2,"RPL22"
"181",8.06925808447254e-07,0.591637034773455,0.345,0.224,0.0152888232926501,2,"TPM4"
"182",8.57019609824514e-07,0.351204939374619,0.764,0.646,0.0162379505473451,2,"MT-CYB"
"183",9.83697318473056e-07,0.609983650355066,0.369,0.242,0.018638113093109,2,"MT-ND5"
"184",2.84811883638982e-06,0.658112538158592,0.293,0.18,0.0539633075930779,2,"JUND"
"185",3.36820395393283e-06,0.596403854596596,0.322,0.208,0.0638173603151654,2,"RPL37"
"186",4.05943788578444e-06,0.457326125036291,0.496,0.365,0.0769141696219577,2,"RPL27A"
"187",4.22965350904384e-06,0.599345129908718,0.305,0.193,0.0801392450358537,2,"NR2F2"
"188",6.61379122840526e-06,0.502498543885444,0.366,0.248,0.125311502404595,2,"HLA-A"
"189",6.65236746110939e-06,0.279694775231002,0.671,0.539,0.12604240628564,2,"MT-ND4"
"190",9.52330586001846e-06,0.299981021880035,0.712,0.588,0.18043807612977,2,"RPL17"
"191",1.09367391950507e-05,0.294326073086169,0.657,0.531,0.207218397528625,2,"RPL28"
"192",2.09625180960547e-05,0.548380674043511,0.338,0.23,0.397176830365949,2,"RPL35A"
"193",3.81923592915141e-05,0.534347875062283,0.281,0.192,0.723630631496318,2,"HMGB1"
"194",6.24785284005985e-05,0.612923536409259,0.279,0.185,1,2,"UBA52"
"195",8.07163896536924e-05,0.435528705025541,0.293,0.205,1,2,"HLA-B"
"196",0.000116338943515823,0.392287394228876,0.468,0.355,1,2,"CALD1"
"197",0.000198620841349785,0.410012786007158,0.452,0.354,1,2,"RPS9"
"198",0.000734830622867837,0.289638325830394,0.716,0.601,1,2,"RPL13A"
"199",0.000997407022834749,0.534639440520903,0.253,0.173,1,2,"RPL27"
"200",0.00270054117387483,0.333208986699796,0.359,0.271,1,2,"IFITM3"
"201",0.00488380913551276,0.265454126530571,0.355,0.276,1,2,"EIF1"
"202",3.73492452802737e-85,2.0284683810216,0.719,0.237,7.07656150325346e-81,3,"MYL6"
"203",9.25233488724926e-76,2.95579433824094,0.565,0.1,1.75303989108712e-71,3,"CRYAB"
"204",4.63417216556947e-62,1.99979113356179,0.656,0.241,8.78036600210448e-58,3,"HSP90AA1"
"205",6.91552857338168e-58,2.72103835364715,0.464,0.087,1.31028519879863e-53,3,"SLC3A2"
"206",5.65655306646095e-51,1.82585368197247,0.58,0.213,1.07174710950236e-46,3,"HSP90AB1"
"207",4.21250204342011e-47,1.51916354886709,0.688,0.3,7.98142762166809e-43,3,"H3F3B"
